id,display_name,year,cited_by_count,works_count
I125749732,Western University,2012,172038,4663
I125749732,Western University,2013,187791,4927
I125749732,Western University,2014,205699,5130
I125749732,Western University,2015,214207,5159
I125749732,Western University,2016,219593,5581
I125749732,Western University,2017,231885,5830
I125749732,Western University,2018,250358,6104
I125749732,Western University,2019,276414,6333
I125749732,Western University,2020,333797,7455
I125749732,Western University,2021,365306,7650
I125749732,Western University,2022,358028,7007
I125749732,Western University,2023,368271,7189
I125749732,Western University,2024,370993,6324
I129902397,Dalhousie University,2012,97175,2734
I129902397,Dalhousie University,2013,107973,3123
I129902397,Dalhousie University,2014,118741,3269
I129902397,Dalhousie University,2015,126691,3280
I129902397,Dalhousie University,2016,132537,3462
I129902397,Dalhousie University,2017,143191,3488
I129902397,Dalhousie University,2018,156079,3983
I129902397,Dalhousie University,2019,185656,4465
I129902397,Dalhousie University,2020,218818,4587
I129902397,Dalhousie University,2021,253097,4818
I129902397,Dalhousie University,2022,253790,4851
I129902397,Dalhousie University,2023,260934,4757
I129902397,Dalhousie University,2024,260933,4180
I141945490,University of British Columbia,2012,417282,9916
I141945490,University of British Columbia,2013,470675,10365
I141945490,University of British Columbia,2014,515934,11019
I141945490,University of British Columbia,2015,546181,11610
I141945490,University of British Columbia,2016,565029,11586
I141945490,University of British Columbia,2017,598394,12290
I141945490,University of British Columbia,2018,646044,12990
I141945490,University of British Columbia,2019,721344,14063
I141945490,University of British Columbia,2020,865978,15638
I141945490,University of British Columbia,2021,963671,16500
I141945490,University of British Columbia,2022,927946,15236
I141945490,University of British Columbia,2023,952647,15501
I141945490,University of British Columbia,2024,939085,12989
I151746483,University of Waterloo,2012,133126,4420
I151746483,University of Waterloo,2013,147875,4528
I151746483,University of Waterloo,2014,165470,4975
I151746483,University of Waterloo,2015,173389,5224
I151746483,University of Waterloo,2016,181540,5060
I151746483,University of Waterloo,2017,196193,5465
I151746483,University of Waterloo,2018,219578,5608
I151746483,University of Waterloo,2019,252411,6224
I151746483,University of Waterloo,2020,296639,6753
I151746483,University of Waterloo,2021,336130,6813
I151746483,University of Waterloo,2022,324528,6430
I151746483,University of Waterloo,2023,346261,6571
I151746483,University of Waterloo,2024,332320,5278
I153718931,University of Ottawa,2012,141914,4776
I153718931,University of Ottawa,2013,162852,5182
I153718931,University of Ottawa,2014,182310,5769
I153718931,University of Ottawa,2015,198340,5894
I153718931,University of Ottawa,2016,211132,6416
I153718931,University of Ottawa,2017,230142,6436
I153718931,University of Ottawa,2018,254030,7063
I153718931,University of Ottawa,2019,294393,7354
I153718931,University of Ottawa,2020,371007,8112
I153718931,University of Ottawa,2021,427611,8342
I153718931,University of Ottawa,2022,417879,7747
I153718931,University of Ottawa,2023,435412,8071
I153718931,University of Ottawa,2024,439125,6859
I154425047,University of Alberta,2012,252908,7569
I154425047,University of Alberta,2013,279548,7930
I154425047,University of Alberta,2014,306069,8365
