id,display_name,mean_adjusted_i10_score,mean_cited_by_count,mean_h_index,mean_i10_index,mean_works_count,mean_2yr_mean_citedness,median_cited_by_count,median_h_index,median_i10_index,median_works_count,median_2yr_mean_citedness,median_citations_per_work,mean_citations_per_work,mean_i10_to_works_ratio,median_i10_to_works_ratio,i10_harmonic_mean
I125749732,Western University,-0.0009074438385715692,1016.2651393024421,8.520435450528211,13.501356041496797,35.51683198361366,1.3026902501929678,116.0,4.0,3.0,9.0,0.0,12.88888888888889,28.61362014977334,0.3801396489339447,0.3333333333333333,19.565202770495855
I129902397,Dalhousie University,0.01958014740012757,1149.6299884238135,9.05005178821667,14.694388594406858,37.66291963687317,1.319787127826172,125.0,4.0,3.0,10.0,0.0,12.5,30.524186640546315,0.39015532348747056,0.3,21.140642842043253
I141945490,University of British Columbia,0.01813097231037894,1279.2580018406807,9.391144288782087,15.465226970595522,39.4929858974238,1.5356274571250337,145.0,4.0,3.0,10.0,0.0,14.5,32.392030452276565,0.39159426969547895,0.3,22.226632154758384
I151746483,University of Waterloo,-0.04264917372469479,1020.0397019209032,8.871277158178351,14.48974094307796,38.955867173535566,1.4463559480563668,123.0,4.0,3.0,11.0,0.0,11.181818181818182,26.1844948124749,0.3719527248239895,0.2727272727272727,21.12279917653413
I153718931,University of Ottawa,-0.06384534178345225,1103.794518642176,8.502384927259683,13.696975117258923,36.813578185865396,1.3674392493349805,110.0,4.0,3.0,10.0,0.0,11.0,29.98335323638762,0.3720631297535182,0.3,19.965517358839737
I154425047,University of Alberta,0.0475191802058128,1143.8558172641394,9.173262585738302,15.147586385401713,38.20795910443886,1.4469274264397567,135.0,4.0,3.0,10.0,0.0,13.5,29.937631950910735,0.3964510730342025,0.3,21.694403302636456
I168635309,University of Calgary,-0.010456225704844146,1161.1460664258727,9.078213373271192,14.878090036120199,39.58969253810206,1.4849478938579805,131.0,4.0,3.0,10.0,0.0,13.1,29.32950452465268,0.3758071629831723,0.3,21.62816190585886
I18014758,Simon Fraser University,0.007941728171239677,1173.448090347253,9.20314792583702,15.074874394202174,39.36427904495145,1.40223293806248,134.0,4.0,3.0,11.0,0.0,12.181818181818182,29.80997286924146,0.3829582240535295,0.2727272727272727,21.80091073180339
I185261750,University of Toronto,0.06688326407397191,1402.988401292142,9.67039068690199,16.455878588407494,42.23975742061321,1.5054599083776012,163.0,5.0,3.0,11.0,0.0,14.818181818181818,33.21487827975728,0.3895826963337849,0.2727272727272727,23.684633713162913
I204722609,Queen's University,-0.023283799203705602,1114.4992104669514,8.77950723112014,14.229190164674119,37.80126325287666,1.2470567022915462,124.0,4.0,3.0,10.0,0.0,12.4,29.48312078914819,0.3764210224797523,0.3,20.67563620764654
I32625721,University of Saskatchewan,0.014689999390933215,868.0048712131324,8.266548778860285,13.322534365407684,34.33017482984112,1.1603265986408164,98.0,4.0,2.0,8.0,0.0,12.25,25.284021287844677,0.3880706821751231,0.25,19.195757876725867
I43406934,Université Laval,-0.15607070811908272,807.4016711625802,7.454942211110347,11.364519595587497,33.478715704980665,0.9978305527681133,72.0,3.0,2.0,9.0,0.0,8.0,24.116865123427125,0.3394550643977297,0.2222222222222222,16.96887024828626
I46247651,University of Manitoba,0.04467894726598561,965.701888971369,8.429239187219911,13.386565481591456,34.11251340427272,1.1969868085963746,109.0,4.0,3.0,9.0,0.0,12.11111111111111,28.309315045968184,0.39242389802666194,0.3333333333333333,19.22771578477337
I5023651,McGill University,0.09299242422704948,1228.395679580058,9.372866147737724,15.269398147109607,38.79999551358278,1.440326720187906,158.0,5.0,3.0,11.0,0.0,14.363636363636363,31.65968612419121,0.39354123486339637,0.2727272727272727,21.91452648131565
I70931966,Université de Montréal,-0.10858045494621046,1037.027581283662,8.364673242909916,13.342543318839741,37.47251606204172,1.1474193444905019,103.0,4.0,2.0,10.0,0.0,10.3,27.674351505159077,0.3560621148777156,0.2,19.67836601650496
I98251732,McMaster University,0.017576284461718383,1242.8579818850822,8.948238041324672,14.770556184545704,38.13439357486535,1.6832938092837366,136.0,4.0,3.0,10.0,0.0,13.6,32.59152343527127,0.3873289909684334,0.3,21.29351621814668
